亚科,亚科,genus,url,species,url url,fenbudi,description
行军蚁亚科蚂蚁,Dorylinae,双节行军蚁属,Aenictus,点腹双节行军蚁,Aenictus punctiventris,中国台湾（台东）；加里曼丹岛。,
行军蚁亚科蚂蚁,Dorylinae,双节行军蚁属,Aenictus,杨氏双节行军蚁,Aenictus yangi,中国云南（西双版纳）。,种小名是用中国科学院西双版纳热带植物园知识创新基地首席研究员杨大荣的姓氏命名的。故而译为“杨氏双节行军蚁”。
切叶蚁亚科蚂蚁,Myrmicinae,犁沟蚁属,Vombisidris,棘犁沟蚁,Vombisidris acherdos,新几内亚。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,博纳弓背蚁,Camponotus bonariensis,中国Lo Chouei；印度尼西亚，阿根廷，巴西，乌拉圭。,
切叶蚁亚科蚂蚁,Myrmicinae,盲切叶蚁属,Carebara,凶恶盲切叶蚁,Carebara asina,中国云南；孟加拉国，印度。,种小名“asina”的本意为“驴”，同时有“凶恶之人”的引申含义。原文献并未注明命名原因，根据此属特点，译为“凶恶盲切叶蚁”。凶恶盲切叶蚁的模式产地位于印度。
猛蚁亚科蚂蚁,Ponerinae,微猛蚁属,Parvaponera,达尔文微猛蚁,Parvaponera darwinii,中国海南、台湾(台南、台东、南投)；日本，印度，缅甸，斯里兰卡，泰国，马来西亚，印度尼西亚，巴布亚新几内亚，美拉尼西亚群岛，澳大利亚北部，刚果，非洲南部。,
切叶蚁亚科蚂蚁,Myrmicinae,收获蚁属,Messor,摩洛哥收获蚁,Messor marocanus,直布罗陀，伊比利亚半岛，摩洛哥，葡萄牙，西班牙。,种小名“marocanus”意为“摩洛哥人”，得名于其模式产地 _ 北非的摩洛哥，故而译为“摩洛哥收获蚁”。
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,邵氏瘤颚蚁,Strumigenys sauteri,中国台湾、广西（底定）、湖南、福建、香港、云南（西双版纳）；泰国，日本。,
钝猛蚁亚科蚂蚁,Amblyoponinae,点猛蚁属,Stigmatomma,沟头点猛蚁,Stigmatomma scrobiceps,中国云南（西双版纳（勐腊））。,
猛蚁亚科蚂蚁,Ponerinae,猛蚁属,Ponera,中华猛蚁,Ponera sinensis,中国香港、云南(勐腊)。,
蚁亚科蚂蚁,Formicinae,箭蚁属,Cataglyphis,燃箭蚁,Cataglyphis urens,阿联酋，阿曼。,
猛蚁亚科蚂蚁,Ponerinae,猛蚁属,Ponera,日本猛蚁,Ponera japonica,中国贵州（雷公山）、台湾；日本，朝鲜半岛，马来西亚，菲律宾，印度尼西亚，俄罗斯。,
切叶蚁亚科蚂蚁,Myrmicinae,盲切叶蚁属,Carebara,全异盲切叶蚁,Carebara diversa,中国澳门、福建（武夷山）、广东（鼎湖山、罗浮山、茂名、深圳（罗湖）、湛江、珠海）、广西（博白、防城、金钟山、弄岗、青龙山、青狮潭、容县、藤县、梧州）、海南（尖峰岭）、香港、云南（西双版纳）、台湾；新几内亚，婆罗洲，印度尼西亚，马来西亚，菲律宾，孟加拉国，柬埔寨，印度，老挝，缅甸，泰国，越南，日本。,"次异名：Myrmica polita Smith, F. 1860, 1860、Pheidole megacephala Smith, F., 1860、Pheidole megacephalotes Dalla Torre, 1892、Pheidole militaris Smith, F., 1860、Pheidole ocellifera Smith, F., 1858、Pheidole pabulator Smith, F., 1860。分叉盲切叶蚁Pheidologeton diversus ficta Forel, 1911。原中文名为全异巨首蚁，现巨首蚁属（Pheidologeton）已撤销，并入盲切叶蚁属，因此更名。"
切叶蚁亚科蚂蚁,Myrmicinae,火蚁属,Solenopsis,憎恶火蚁,Solenopsis molesta,中国西藏；加拿大，美国，墨西哥。,"次异名：短刺红蚁Myrmica exigua Buckley, 1867、Myrmica minuta Say, 1836、Solenopsis debilis Mayr, 1886。种小名“molesta”意为“troublesome, irksome, grievous, annoying, tiresome”，故译为“憎恶火蚁”。"
切叶蚁亚科蚂蚁,Myrmicinae,盘腹蚁属,Aphaenogaster,包公盘腹蚁,Aphaenogaster baogong,中国台湾。,包公盘腹蚁以历史人物“包公”命名，模式产地位于中国台湾。
切叶蚁亚科蚂蚁,Myrmicinae,举腹蚁属,Crematogaster,田中举腹蚁,Crematogaster tanakai,婆罗洲，印度尼西亚，马来西亚。,种小名“tanakai”为日本姓氏“田中”，故而译为“田中举腹蚁”。
蚁亚科蚂蚁,Formicinae,蚁属,Formica,不定蚁,Formica incerta,美国。,种小名“incerta”意为“不确定的，有疑问的”，指的是本种定种时，命名人对于其是否属于有效种仍存有疑问的意思，故而译为“不定蚁”。本种是多种悍蚁属和蚁属蚁种的宿主。
蚁亚科蚂蚁,Formicinae,毛蚁属,Lasius,柠檬毛蚁,Lasius citrinus,俄罗斯，朝鲜，欧洲。,
猛蚁亚科蚂蚁,Ponerinae,细颚猛蚁属,Leptogenys,克氏细颚猛蚁,Leptogenys kraepelini,中国分布一亚种。,
切叶蚁亚科蚂蚁,Myrmicinae,大头蚁属,Pheidole,红胸大头蚁,Pheidole rugithorax,中国云南（西双版纳）；缅甸，泰国，越南。,
切叶蚁亚科蚂蚁,Myrmicinae,收获蚁属,Messor,红结收获蚁,Messor ruginodis,中非共和国，刚果共和国。,
钝猛蚁亚科蚂蚁,Amblyoponinae,点猛蚁属,Stigmatomma,褐红点猛蚁,Stigmatomma rubiginoum,中国湖南（浏阳）、四川（成都）、福建（三明）。,
猛蚁亚科蚂蚁,Ponerinae,双刺猛蚁属,Diacamma,聚纹双刺猛蚁,Diacamma rugosum,中国湖南（资兴、江永）、广东（广州、龙门、封开、深圳（南山、罗湖、大鹏、龙岗）、郁南、东莞、增城、鹤山、珠海、从化、鼎湖山、罗岗、惠州、嗽珠岗、内伶仃岛、七星岩、新丰、番禺、河源、罗浮山）、海南、云南（西双版纳）、广西（南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、弄岗）、福建、台湾、香港、澳门；日本，印度，斯里兰卡，缅甸，巴布亚新几内亚，马来西亚。,聚纹双刺猛蚁在我国有分布（也只有此一种），体长10-13毫米，体黑色，上颚、触角柄节基部和端部、鞭节和足栗红色，有时足红褐色；各腹节端部和后缘褐黄色。腹柄节腹面前、后各有一个齿状突起，齿基部宽。因为该种包括了多数亚种和变种，因而本种的分类呈混乱状态。
蚁亚科蚂蚁,Formicinae,拟毛蚁属,Pseudolasius,双齿唇拟毛蚁,Pseudolasius bidenticlypeus,中国贵州、云南（西双版纳、昆明、无量山）。,
切叶蚁亚科蚂蚁,Myrmicinae,瘤颚蚁属,Strumigenys,尼泊尔瘤颚蚁,Strumigenys nepalensis,中国云南（西双版纳）；尼泊尔，印度，马来西亚，新加坡，泰国，越南。,
