"ID","种","属","亚科","描述","分布"
"279","史氏铺道蚁Tetramorium smithi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁体长 2.4-2.6mm，体黄褐色，通常后腹部颜色更暗，褐色。立毛淡黄色，稀疏。","中国广东（广州、平远、清新、深圳（南山））、广西（来宾、钦州、弄岗）、海南、江西、四川、台湾、西藏（德姆拉山）、云南（西双版纳、无量山）；日本，菲律宾，老挝，马来西亚半岛，缅甸，泰国，越南，婆罗洲，印度尼西亚，巴基斯坦，不丹，克什米尔，孟加拉国，斯里兰卡，印度，马里亚纳群岛，加罗林群岛，马绍尔群岛。"
"280","粒纹大齿猛蚁Odontomachus granatus","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁体长 14.2mm。头长大于宽，两复眼之问距离最宽，头侧中部及后头缘凹，后头角钝圆。上颚端部具3端齿，近基部l枚端齿端部略尖，不平截，长约为其基部最宽处的2倍：其后具13枚细齿。额脊短，略向后发散。触角细长，柄节近1/3超过后头缘。并腹胸细长；前胸背板略凸；前一中胸背板缝深切；中胸背板盼缘高，向后倾斜：中一并胸腹节缝处宽而深凹；并胸腹节基面长而平直，斜面短而陡斜。结节圆锥形，顶端刺直而尖锐。后腹部基2节问缢缩不明显。螫针发达。上颚略具刻点，较光亮；头部刻纹细弱；两额脊间刻纹向后及两侧发散，至后头处分歧，中央刻纹纵仲向后，两侧刻纹向外弯曲。前胸背板刻纹环形，中胸及并胸腹节背板刻纹稍粗，横形。结节及后腹部刻点细弱，较光亮。立毛极稀疏，仅散布于足基节及后腹部未端；上颚腹面具稀疏长毛。细茸毛丰富，遍布全身。体红褐色。头(含触角)、后腹部腹而及术端较浅；足基节及腿节基部2/3黄色。","中国广西（十万大山、弄岗）、广东（肇庆、信宜）、云南、福建（龙岩）。"
"281","二色盾胸切叶蚁Meranoplus bicolor","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","工蚁基本特征：体长4.0mm-5.0mm，体铁锈红色，后腹部黑色。立毛细而极长，柔软，较密，黄白色。中胸背板后缘具一对长刺，其刺明显长于并胸腹节刺；后腹部背板具明显的皮革状刻纹，不甚光亮。  工蚁具体描述：头长大于宽，前部窄于后部，后头缘几平直。上颚具4齿，基2齿较小。唇基中部凸，前缘平直，两侧具隆线。复眼大，位于头侧靠近后头角。前、中胸背板盾状，前侧角突出成齿状，在前、中胸背板交界处具缺刻；后侧角延长成长刺，直指后方并悬覆于并胸腹节之上；并胸腹节几无基面、斜面之分，向后方极倾斜，中问具2刺，远短于前、中胸背板后侧角刺。第1结节侧面观三角形，前而较倾斜；第2结节圆凸，略高于第1结节。后腹部侧面观卵形，背面观宽圆。足中长。 上颚具细纵刻纹；头、前、中胸背板具稀疏纵刻纹，刻纹州具粗糙刻点；并腹胸侧板具粗糙刻点和不规则刻纹：并胸腹节斜面及第1结节较光亮；第2结节刻点较粗；后腹部第1节背板具网状细刻纹，仍具一定光泽。立毛黄白色，极长而柔软，密布全身。体黄褐色至锈红色，后腹部黑色。亮盾胸切叶蚁（Meranoplus bicolor lucidus）已确定为二色盾胸切叶蚁（Meranoplus bicolor）的次异名。 暗盾胸切叶蚁（Meranoplus bicolor fuscescens）已确定为二色盾胸切叶蚁（Meranoplus bicolor）的次异名。","中国广东（珠海、博罗、湛江）、广西、福建、海南（五指山）、香港、台湾、江西、云南；缅甸，东南亚。"
"282","西氏拟毛蚁Pseudolasius silvestrii","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁大、中、小三型。","中国云南（西双版纳）；越南，柬埔寨，缅甸，泰国。"
"283","邵氏扁头猛蚁Ectomomyrmex sauteri","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁7.9-9.9mm。头部长稍大于宽, 正面观后头缘角状凹陷, 侧缘隆起. 唇基前缘中央凹陷, 上颚具10 齿. 触角柄节末端刚到达后头缘. 侧面观胸部背面等高, 中胸侧板被一斜沟分割为上下两部分. 并胸腹节斜面具锋利侧缘. 腹柄结前面垂直隆起, 后面上部向前斜切; 侧面观前面直, 后面圆形隆起. 上颚具细条纹和稀疏刻点. 头部具向后分歧的纵条纹. 胸部和腹柄结背面具纵条纹; 并胸腹节斜面和腹柄结后面具横条纹. 腹部具细刻点, 较光亮. 头和体具稀疏立毛和丰富绒毛被; 附肢具丰富绒毛被, 缺立毛. 体黑色; 上颚浅红色; 附肢褐红色.","中国台湾（台东、屏东、恒春、台中）、陕西（西安）、云南（安宁、景洪、昆明、无量山）、广东（始兴）、重庆（大巴山）、湖南、浙江；日本。"
"284","缅甸细颚猛蚁Leptogenys birmana","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁7.0-8.0mm，体红褐色，全身披有黄色疏长立毛。柔毛稀少，多在触角鞭节。上颚三角形，咀嚼边4-5齿，并腹胸略窄于头部，背缝清晰。结节鳞片状，上窄下宽，前缘凸圆且后倾。","中国云南（西双版纳）、海南（尖峰岭）；缅甸，印度。"
"285","中华曲颊猛蚁Gnamptogenys sinensis","曲颊猛蚁属Gnamptogenys","蚁亚科蚂蚁Formicinae","工蚁6.9-8.0mm，体暗锈红褐色，后腹末端黄褐色。上颚光亮，具细密刻纹。","中国湖南（道县）、广西（大瑶山）。"
"286","始兴多刺蚁Polyrhachis shixingensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁6.8-7.2mm，体黑色，上颚、触角鞭节、足和后腹部末端呈褐红色，触角柄结颜色略深。","中国广东（河源、韶关（始兴）、梅州（蕉岭））、广西（贺州）、海南。"
"287","油亮黑蚁Formica picea","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁4-4.3mm，雌蚁6mm。","中国内蒙古、甘肃（兰州）、新疆、西藏；芬兰。"
"288","大隐猛蚁Cryptopone gigas","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁4.3-4.6mm，体暗红褐色至黑褐色，触角、上颚、唇基和足红褐色。","中国安徽、云南（西双版纳）、河南（商丘、济源、民权、睢县）。"
"289","黄斑弓背蚁Camponotus albosparsus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁3型。大型工蚁体长8.0mm，头部褐色到褐黄色，后腹部前2节背板各有2个黄色或黄白色浅斑，第二节上两个斑点较小，两节色斑连续，成“八”字向后展开。 中型工蚁体长6.5-7.4mm。 小型工蚁体长3.7-5.8mm，后腹部背板第一节黄斑汇合，几乎占据整个第一节背板，第二节背板色斑由汇合向外延伸，几乎占据整个背板。","中国湖南、河南（兰考、尉氏、杞县、鹤壁（淇县））、安徽、上海、江苏（苏州）、浙江、福建（福州）、广西（木论、南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、弄岗）、广东（广州、深圳（南山）、珠海、惠东、乳源、河源、平远）、台湾（高雄、大林、台北、南投、屏东）、香港（维多利亚山、青山、浅水湾）、四川（川东盆地域）、湖北（武当山、罗田）、待定（Black Liang、Loka 上海和福州之间、Kusang、Peta and Ausu靠近福州）；日本，印度，喜马拉雅山地区。"
"290","广西猛蚁Ponera guangxiensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁2.5-2.6mm。 ","中国广西（贺州）。"
"291","敏捷扁头猛蚁Ectomomyrmex astutus","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁14-17.23mm。工蚁头部扁平，两侧缘微凸，边缘明显，后头缘深凹，后头角突出，钝角状。上颚宽三角形，咀嚼缘具6-12个大小不一齿。唇基窄，中部凸，前缘完整，缺中脊。触角柄节略超过后头角。复眼较小，位于头侧中线之前。并腹胸厚实，背面稍凸；前胸背板前缘圆凸，前侧角略呈直角；前-中胸背板缝清晰，中-并胸腹节缝仅见凹痕；并胸腹节基面短于斜面，二者连接处圆滑。结节侧面观前面平直，后面端部向前倾斜；背面观前面凸，后面平。腹柄下突三角形，前下侧钝角形。后腹部粗大，基2节间缢缩明显。螫针伸出。 本种为中国已知最大的扁头猛蚁。早期文献有误鉴定的情况，导致其体长数据跨度很大，现已更正。","中国北京、安徽、浙江（莫干山）、福建（福州）、四川（成都、盆地西缘山地域、川西南高原域、川东盆地域）、湖南（湘南地区、湘北地区、湘中地区、湘东地区、湘西地区）、湖北（来凤、天堂寨、九宫山、大洪山）、贵州（遵义、湄潭、都匀、梵净山）、云南（勐腊、西双版纳）、海南、台湾、香港、澳门、陕西（龙池、佛坪）、河北、广东（封开、连州、河源、梅州、乳源、惠东、龙门、深圳、罗浮山、南岭）、广西（环江、南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、弄岗）、上海、江西、山东、江苏（常州）、甘肃（兰州、 麦积、 西和）、河南（鹤壁（淇县、浚县）鸡公山、伏牛山、尉氏、杞县、徽县、登封、太康、扶沟、西华、商水）、陕西、西藏（墨脱）；印度，日本，印度尼西亚，缅甸，马来西亚，澳大利亚，朝鲜半岛，南亚和东南亚。"
"292","红黑细长蚁Tetraponera rufonigra","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae","工蚁10.5-13.0mm，头、后腹部及第二结节黑色；上颚、触角、并腹胸、第一结节橘黄色至深暗红色。头面观，唇基中央平直。","中国云南（西双版纳）、海南（万宁、五指山）、广东、福建（嘉积）、河南（项城、太康、西华、淮阳、鹿邑、商水）、广西（弄岗）；印度，东南亚。"
"293","黑头酸臭蚁Tapinoma melanocephalum","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae","工蚁1.5-2.0毫米。头褐色、暗褐红色或黑色，胸、腹黄色或黄白色，颜色对比明显。","中国河南（项城、淮阳、鹿邑、郸城、沈丘、商水、商丘、辉县）、安徽、四川（川西南高原域、川东盆地域）、浙江、山东、湖南、广东（深圳（南山、大鹏、宝安、龙岗、南岭）、广州（天河）、罗浮山）、广西（南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、金钟山、弄岗）、云南（西双版纳、无量山、高黎贡山）、福建（福州、厦门）、海南（嘉积、陵水、屯昌、定安（黄竹））、浙江、台湾（台北、恒春、高雄、奋起湖、安平）、香港（大浦、沙田、青山）、澳门、湖北（恩施、来凤、鹤峰、利川、咸丰、五峰、长阳、宜昌、神农架、十堰、竹溪、竹山、郧县、襄阳、罗田、浠水、通山、崇阳、新洲、监利、荆州）、西藏（德姆拉山）；法属圭亚那，日本，东南亚，大洋州，非洲、欧洲、美洲。"
"294","黄腹弓背蚁Camponotus helvus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁：体长8.6-10.8mm。头、并腹胸和结节黑色，略带褐色；上颚、两额脊前半部及其间的区域深红色；唇基、额区、颊前部和触角黄红色至暗红色，足和后腹部蜜黄色或黄红色。毛稀疏，以头前部和后腹末端较多；并腹胸仅具4-13根毛；颊前部和足胫节有稀而短的柔毛。体光亮。大型工蚁头后缘凹入；唇基不具脊，中叶突出，前缘中央深凹；上颚5齿。并腹胸背面弓形，并胸腹节背板斜面凹入。结节前凸后平。后腹宽卵形。 ","中国湖南、陕西、河南（登封）、湖北（恩施）。"
"295","伊宁弓背蚁Camponotus yiningensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁：体长5.7mm。头、并腹胸、结节深红色，后腹黑色。全身有较丰富的白色立毛；柄节无立毛，足上立毛很少。柔毛被稀疏。身体有一定光泽；头、并腹胸刻点呈网状，较粗糙；后腹刻点十分小。头方形，后部宽于前部，后头缘圆形，侧缘直；唇基凸，无中脊，前缘直；上领粗，具5粗齿。侧面观前、中胸背板呈弱弓形；中-并胸腹节背板缝深；并胸腹节背板基面平，具弱的棱边，斜面陡，几垂直；背面观前胸背板宽，中、并胸腹节迅速变窄。结节前、后面均直，薄。后腹长卵圆形。  ","中国新疆（伊宁）。"
"296","光亮细颚猛蚁Leptogenys lucidula","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","工蚁:体长4.9-5.0mm. 头长大于宽, 前部宽于后部, 后头缘直, 正面观能见后头缘脊. 后头角圆钝, 头侧缘轻度隆起. 复眼位于头中线上, 稍隆起, 外缘刚到达头侧缘. 上颚长三角形, 咀嚼缘倾斜, 具6 齿, 从端部数起第3 齿最大. 唇基三角形, 前缘中央向前突出, 具中央纵脊. 额叶叶状,部分遮盖触角插入部. 触角12节,柄节的1/ 6超过后头角,鞭节向端部逐渐变粗. 侧面观胸部背面等高, 前胸背板肩角圆钝. 前中胸背板缝明显, 窄而轻度凹陷. 中胸背板向后轻度降低, 后胸沟在背面浅凹, 在侧面深凹. 并胸腹节背面直, 圆形进入斜面,其长为斜面的2 倍, 背面后部中央和斜面中央纵向凹陷. 腹柄结侧面观直立, 较厚, 向上变窄, 后面平坦, 前面和背面轻度隆起; 腹柄下突低三角形, 指向前下方; 背面观腹柄结近半圆形, 后缘平直, 宽为长的1. 5 倍. 腹部前面中央平坦, 基部2 节之间收缩明显, 腹末螫针伸出. 上颚和唇基具细纵条纹. 头部、胸部、腹柄结和腹部光滑发亮, 刚毛着生处具细小刻点. 后胸侧板下部具细纵条纹. 头和体背面具丰富长短不等的直立和亚直立毛,缺绒毛被. 触角柄节和后足胫节具密集亚直立毛, 柄节和鞭节具密集倾斜绒毛被. 头和体暗棕褐色, 触角、足和腹末暗黄褐色. 黄帝细颚猛蚁（Leptogenys huangdii）已被确定为光亮细颚猛蚁（Leptogenys lucidula）的次异名。 ","中国云南(盈江、勐腊、西双版纳)；锡金，缅甸。"
"297","安宁弓背蚁Camponotus anningensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","工蚁：体长4.5-5.6mm。体黑色；上颚、触角柄节基部多半部分和足跗节深红色；足其余部分褐黑色至褐红色；腹节后缘具浅黄色窄带。身体有一定光泽。身体仅头前部和后腹部有十分稀疏的白色毛；柔毛稀疏，短但明显。身体刻点略粗糙。头前部略窄于后部。后头缘微凸；额脊彼此远离；唇基宽，中叶很短，无中脊；上颚5齿。并腹胸背面弱弓形。结节前面很凸，后面平直，顶端圆。 ","中国四川、云南（西双版纳）、广东（从化）、西藏（墨脱）。"
