"ID","种","属","亚科","描述","分布"
"58","大埔盲切叶蚁Carebara taiponica","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为香港稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 原文献中标注其拉丁名意为模式种发现地-香港的大埔（Taipo），故将其中文名更正为大埔盲切叶蚁。","中国香港（大埔）、云南；老挝。"
"59","纹头盲切叶蚁Carebara reticapita","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为纹头稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 纹头盲切叶蚁的模式产地位于中国云南。 兵蚁体长1.5~2.0mm。工蚁体长1.1~1.2mm。","中国广西（金钟山）、西藏、云南（勐海（勐阿）、无量山）。"
"60","网纹盲切叶蚁Carebara cribriceps","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为网纹稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 网纹盲切叶蚁的模式产地位于越南。 小型工蚁：TL 1.6~1.8, HL 0.42~0.45, HW 0.40~0.41, CI 88~95, SL 0.31~0.32, SI 77~80, PW 0.23~0.25, AL 0.42~0.46, ED 0.01.头长略大于宽，后头缘浅凹。上颚具4钝齿。触角11节，端2节形成触角棒；柄节长为其着生处至后头缘距离的4/5~5/6。复眼小，仅具1个小眼。前、中胸背板凸，背面较平；中-并胸腹节缝明显凹陷；并胸腹节基面平滑进入斜面，基面与斜面近等长，缺刺或齿。第1结节高，圆锥形，顶端钝圆；第2结节圆，低于第1结节。后腹部卵形。上颚、唇基、头部、前胸背板、两结节以及后腹部光亮，刻点细弱。中胸侧板、并胸腹节及结前柄具密集网状刻点。立毛浅黄白色，长，稀疏，仅存在于唇基、额区及后腹部末端。茸毛在头及体短而稀疏，在触角和足跗节较密集。体黄色。触角和足颜色略浅于体；上颚齿及唇基边缘红色。","中国广西（兴安）、河南、四川（川西南高原域）；越南。"
"61","弯刺盲切叶蚁Carebara curvispina","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为弯刺稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 弯刺盲切叶蚁的模式产地位于中国云南。 兵蚁体长3.0~3.6mm。工蚁体长1.3~1.4mm。","中国云南（景洪）、四川。"
"62","条纹盲切叶蚁Carebara striata","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为条纹稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 条纹盲切叶蚁的模式产地位于中国云南。 正模兵蚁体长2.5mm。","中国云南（勐腊（尚勇（南欠）））。"
"63","双角盲切叶蚁Carebara bihornata","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为双角稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 双角盲切叶蚁的模式产地位于中国云南。 兵蚁体长2.1~3.1mm。工蚁体长1.1~1.2mm。","中国云南（保山）。"
"64","邵氏盲切叶蚁Carebara sauteri","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为邵氏稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 邵氏盲切叶蚁的模式产地位于中国台湾。","中国湖南、台湾、浙江；日本。"
"65","拟亮盲切叶蚁Carebara pseudolusciosa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为拟亮稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 拟亮盲切叶蚁的模式产地位于中国。 兵蚁(正模数据在前，mm)：TL 2.3, 2.1~2.3; HL 0.64, 0.60~0.64; HW 0.51, 0.48~0.52; CI 125, 119~125; SL 0.28, 0.26~0.28; SI 55, 50~55; PW 0.29, 0.27~0.30; AL 0.46, 0.42~0.46头呈长方形状，如包括上颚头长超过并腹胸长度；头两侧几平直，其中部有一隐约可见的浅凹；后头角圆形，向后延长；后头缘中央深凹；无单眼；复眼微小，位于头侧近前部2/5处；上颚具5枚几相等大小的齿；唇基双隆脊突出，其前缘平直；触角9节，柄节末端不达头的中部。前、中胸背板凸圆，正面观其背板呈圆形，长宽几相等；中-并胸腹节背板缝清晰；并胸腹节基面和斜面长度几相等，其侧缘具弱脊，在基面与斜面交汇处呈不十分明显的齿状突起，基面略凸，斜面垂直且中部略凹。第一结节楔形，顶端窄圆；第二结节椭圆形。后腹部卵圆形，较大。 体光亮；头前部两侧具细长刻纹，有时不甚明显，并胸腹节两侧呈皮革状皱纹，其余部分刻点十分稀疏，黄白色立毛和柔毛均很稀疏。 体红黄色，头部颜色较深，为褐红色，上颚齿褐黑色。","中国安徽（潜山（天柱山））、广西、河南（鸡公山）、湖北（武汉）。"
"66","南宁盲切叶蚁Carebara nanningensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为南宁巨首蚁，现巨首蚁属（Pheidologeton）已撤销，并入盲切叶蚁属，因此更名。 南宁盲切叶蚁的模式产地位于中国广西南宁。","中国广西（南宁）。"
"67","孟加拉盲切叶蚁Carebara bengalensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为孟加拉稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 孟加拉盲切叶蚁的模式产地位于印度。","中国云南；孟加拉国，印度。"
